GDP,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Abkhazia,,,,,,,,,,,
Afghanistan,887.9145777,983.6523137,984.8058414,1154.859365,1214.613653,1261.354184,1349.696941,1351.014534,1374.066507,1417.760346,1461.588637
Akrotiri and Dhekelia,,,,,,,,,,,
Albania,5652.049321,5958.021197,6365.530359,6550.896164,6746.445312,6914.267317,6969.306283,7059.456493,7199.9432,7343.225649,7489.359482
Algeria,6022.27094,6133.782763,6162.71984,6173.729741,6300.648214,6354.640523,6419.127829,6534.732615,6658.740348,6796.973367,6948.204385
American Samoa,11295.55877,13265.961,,,,,,,,,
Andorra,39924.83718,39244.40609,37046.5027,34710.21401,33052.28232,31630.74284,,,,,
Angola,4148.00245,4950.178553,5488.457748,5475.945894,5497.618103,5546.646572,5838.155376,6018.408948,6267.648271,6511.997979,6744.43203
Anguilla,22716.0548,25037.54699,24145.37382,19309.7469,18220.47825,18600.58367,,,,,
Antigua and Barbuda,16223.38912,17161.68626,17226.5807,15219.49998,13921.51622,13508.80261,13722.98616,13949.80838,14395.22724,14883.78579,15403.63267
Argentina,11865.5823,12748.36362,13457.94875,13420.78925,14486.6366,15595.3872,15714.10318,15969.42722,16337.87907,16640.07548,16947.85456
Armenia,4413.18025,5011.554686,5346.980658,4544.938774,4598.933383,4767.394284,5059.087964,5224.3849,5384.737305,5560.674267,5742.359666
Aruba,26415.89058,26645.25496,25354.97423,23369.71703,21868.81982,23661.38759,,,,,
Australia,33204.15573,34196.81242,34444.33306,34389.09927,34884.76376,35253.93842,36064.73728,36674.10844,37418.89807,38084.6102,38766.31894
Austria,35177.20238,36335.80724,36700.30725,35200.2062,35816.33659,36637.25465,36731.62877,36935.1352,37386.70975,37811.41732,38240.47994
Azerbaijan,6174.30403,7617.241876,8330.512625,8985.408113,9325.554448,9218.057194,9291.02627,9598.963661,10079.32895,10475.15661,10750.54585
Bahamas,23314.07129,23369.12536,22560.07744,21219.55493,21022.70646,21129.18681,21418.22981,21753.58958,22051.17345,22352.82799,22658.60999
Bahrain,28478.45986,30260.80433,31538.936,24415.28452,24012.80725,24036.72517,24472.89624,24989.20038,25303.94919,25708.0826,26145.41659
Bangladesh,1333.98855,1402.308162,1470.332148,1540.79056,1621.048571,1708.302009,1792.550235,1880.148383,1978.517383,2086.900413,2205.352379
Barbados,16703.59316,16938.20592,16959.90069,16226.01413,16223.53076,16273.99641,16233.41379,16273.89557,16395.64343,16600.07764,16889.85806
